verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link
mostly-false,Callista Gingrich,"President Barack Obama has ""weakened the respect for America abroad.""",8/30/2012,speech,Louis Jacobson,8/30/2012,https://www.politifact.com/factchecks/2012/aug/31/callista-gingrich/callista-gingrich-says-barack-obama-has-weakened-r/
pants-fire,Facebook posts,"Says Italian Prime Minister Giuseppe Conte said, ""We have lost control, we have killed the epidemic physically and mentally. Can’t understand what more we can do, all solutions are exhausted on ground. Our only hope remains up in the Sky, God rescue your people.""",3/22/2020,social_media,Miriam Valverde,4/1/2020,https://www.politifact.com/factchecks/2020/apr/01/facebook-posts/fabricated-quote-falsely-attributed-italian-prime-/
mostly-false,Jeff Sessions,"Says Hillary Clinton ""has been a champion of globalist trade agreements. ... Worst of all, they are now pushing the disastrous 5,000-page Obamatrade — the Trans-Pacific Partnership agreement.""",7/18/2016,other,Linda Qiu,7/18/2016,https://www.politifact.com/factchecks/2016/jul/19/jeff-sessions/mostly-false-jeff-sessions-says-clinton-champion-g/
mostly-false,Scott Walker,"Says potential Democratic opponent Mary Burke ""implemented the policies of Jim Doyle. Those are the policies that, in his last term, saw the state lose more than 133,000 jobs.""",8/30/2013,news,James B. Nelson,9/18/2013,https://www.politifact.com/factchecks/2013/sep/18/scott-walker/gov-scott-walker-says-policies-democrat-jim-doyle-/
false,YouTube videos,"Says it shows a ""DNC Group"" teaching ""ILLEGAL VOTING in Arizona.""",1/22/2020,social_media,Daniel Funke,2/6/2020,https://www.politifact.com/factchecks/2020/feb/06/youtube-videos/conservative-activists-promote-misleading-undercov/
mostly-false,Steve Stockman,"Says president is ‘spending $2.2 billion to give away ""ObamaPhones."" ’",2/22/2013,social_media,Sue Owen,3/15/2013,https://www.politifact.com/factchecks/2013/mar/15/steve-stockman/steve-stockman-says-president-spending-22-billion-/
false,Facebook posts,"""So the unvaxxed have to wear mask (sic) to protect the vaxxinated.""",5/22/2021,blog,Monique Curet,6/2/2021,https://www.politifact.com/factchecks/2021/jun/02/facebook-posts/social-media-posts-repeat-false-information-about-/
mostly-true,Wisconsin Senate Republicans,"Gov. Tony Evers has ""only gotten one-third of the money meant for COVID relief out the door. He is sitting on $930 million in ARPA funds left unspent. In fact, he still has CARES Act money from two years ago.""",2/2/2022,social_media,Madeline Heim,2/25/2022,https://www.politifact.com/factchecks/2022/feb/25/wisconsin-senate-republicans/senate-republicans-mostly-right-amount-arpa-cares-/
mostly-true,Gail Collins,"Mitt Romney ""drove to Canada with the family dog Seamus strapped to the roof of the car.""",9/8/2011,news,Angie Drobnic Holan,9/13/2011,https://www.politifact.com/factchecks/2011/sep/13/gail-collins/mitt-romney-and-dog-car-roof-one-columnists-obsess/
mostly-true,Barack Obama,"Since 2009, ""we've cut homelessness (among veterans) by a third.""",7/21/2015,news,Kirby Wilson,7/28/2015,https://www.politifact.com/factchecks/2015/jul/28/barack-obama/obama-says-veteran-homelessness-has-been-cut-third/
pants-fire,Vietnam Veterans Against John McCain,"Says McCain was a ""Hanoi Hilton songbird"" who collaborated with the enemy.",1/15/2008,news,Shawn Zeller,1/17/2008,https://www.politifact.com/factchecks/2008/jan/17/vietnam-veterans-against-john-mccain/no-evidence-mccain-was-a-traitor/
false,Facebook posts,"""People who have had cancer in the past, they get the COVID jab and now, they're getting cancer two to three, four months later and it's the same cancer they had except much worse.""",3/9/2022,social_media,Monique Curet,3/11/2022,https://www.politifact.com/factchecks/2022/mar/11/facebook-posts/no-evidence-covid-19-vaccines-linked-cancer-recurr/
false,Kevin McCarthy,"The Republican tax bill ""lets every American keep more of what they earned.""",11/5/2017,news,Louis Jacobson,11/9/2017,https://www.politifact.com/factchecks/2017/nov/09/kevin-mccarthy/will-every-american-get-tax-cut-house-gop-bill/
false,Russell Edwards,"""Paul Broun Jr. sides with sexual deviants to support sale of 'crush videos.' """,7/22/2010,campaign,Eric Stirgus,8/27/2010,https://www.politifact.com/factchecks/2010/aug/27/russell-edwards/congressman-sides-sexual-deviants-no-vote-opponent/
false,Facebook posts,"Says a photo shows the ""SAME EXACT PEOPLE"" at ""two different beaches"" in Los Angeles County and Jacksonville, Fla.",4/19/2020,social_media,Daniel Funke,4/20/2020,https://www.politifact.com/factchecks/2020/apr/20/facebook-posts/website-glitch-fueling-conspiracy-theory-about-cor/
mostly-true,Tom Tancredo,"He received ""A"" ratings from ""every conservative organization that gives ratings.""",10/21/2007,speech,Ryan Kelly,10/22/2007,https://www.politifact.com/factchecks/2007/oct/22/tom-tancredo/many-but-not-every/
half-true,Barack Obama,"Says last year ""13 million (health insurance) rebates went out, in all 50 states. Another 8.5 (million) rebates are being sent out this summer, averaging around 100 bucks each.""",7/18/2013,speech,Jon Greenberg,7/24/2013,https://www.politifact.com/factchecks/2013/jul/24/barack-obama/barack-obama-says-millions-benefit-insurance-compa/
pants-fire,Ted Cruz,"Says Barack Obama ""began his presidency going on a worldwide apology tour.""",1/12/2012,speech,W. Gardner Selby,1/20/2012,https://www.politifact.com/factchecks/2012/jan/20/ted-cruz/ted-cruz-says-obama-made-worldwide-apology-tour/
false,Donald Trump,"""A lot of people are talking about"" the removal of a ""very fair prosecutor"" in Ukraine.",7/25/2019,other,John Kruzel,9/26/2019,https://www.politifact.com/factchecks/2019/sep/26/donald-trump/donald-trumps-boasts-about-former-ukrainian-prosec/
false,Democratic Senatorial Campaign Committee,"Says U.S. Rep. Steve Daines, R-Mont., ""opposes a vote on his own legislation that he proposed just a few months ago.""",10/9/2013,news,Jon Greenberg,10/15/2013,https://www.politifact.com/factchecks/2013/oct/15/democratic-senatorial-campaign-committee/democrats-say-rep-steve-daines-wont-back-his-own-b/
half-true,Glenn Beck,"Van Jones signed a petition indicating he ""thinks the Bush administration blew up the World Trade Center and covered it up.""",9/3/2009,television,Angie Drobnic Holan,9/8/2009,https://www.politifact.com/factchecks/2009/sep/08/glenn-beck/van-jones-truther-glen-beck-thinks-so/
mostly-false,Rebecca Kleefisch,"Says she made a ""cold call"" and persuaded an Illinois company to relocate to Wisconsin.",3/28/2012,radio,James B. Nelson,4/25/2012,https://www.politifact.com/factchecks/2012/apr/25/rebecca-kleefisch/lt-gov-rebecca-kleefisch-says-her-cold-call-persua/
mostly-true,Kelly E. Hastings,"Said, ""The Seven Years’ War led to near bankruptcy for many countries; Britain’s need to raise taxes fueled the American desire for independence.""",6/30/2019,social_media,Elizabeth Thompson,7/3/2019,https://www.politifact.com/factchecks/2019/jul/03/kelly-e-hastings/did-taxation-really-cause-american-revolution/
half-true,Mary Taylor,"""Ohioans can expect to pay up to 41 percent more for their insurance premiums when Obamacare takes effect next year.""",8/3/2013,email,Robert Higgs,8/9/2013,https://www.politifact.com/factchecks/2013/aug/09/mary-taylor/mary-taylor-says-obamacare-will-push-insurance-cos/
mostly-false,Ted Budd,"Kathy Manning gave ""nearly $1 million to liberals""",10/23/2018,campaign,Paul Specht,10/26/2018,https://www.politifact.com/factchecks/2018/oct/26/ted-budd/budd-relies-mannings-husband-claim-about-her-donat/
pants-fire,Facebook posts,"""Biden gets brutal impeachment.""",6/7/2021,social_media,Ciara O'Rourke,6/8/2021,https://www.politifact.com/factchecks/2021/jun/08/facebook-posts/misleading-video-title-says-joe-biden-was-impeache/
half-true,Judy Shiprack and Diane McKeel,"Say ""in November 2010, voters overwhelmingly supported the idea of creating a (library) district.""",12/23/2011,news,Janie Har,12/30/2011,https://www.politifact.com/factchecks/2011/dec/30/judy-shiprack-diane-mckeel/did-multnomah-county-voters-favor-library-district/
mostly-false,Paul Ryan,"Says Joe Biden ""went to China and said that he sympathized and wouldn't second-guess their one-child policy of forced abortions and sterilizations.""",10/11/2012,speech,J.B. Wogan,10/12/2012,https://www.politifact.com/factchecks/2012/oct/12/paul-ryan/biden-sympathized-and-wouldnt-second-guess-forced-/
true,Debbie Wasserman Schultz,"""A 5 percent increase in domestic production would increase the world supply by less than 1 percent and do almost nothing to our dependence on foreign oil. This would also have virtually no effect on the price of gas at the pump.""",12/1/2010,news,Amy Sherman,12/13/2010,https://www.politifact.com/factchecks/2010/dec/13/debbie-wasserman-schultz/wasserman-schultz-says-expanding-drilling-would-ha/
true,Marco Rubio,"""We are picking up oil with shovels and paper and plastic bags.""",6/26/2010,news,Laura Figueroa,7/7/2010,https://www.politifact.com/factchecks/2010/jul/07/marco-rubio/marco-rubio-critical-oil-spill-clean-efforts/
false,Americas PAC,"Says Tammy Baldwin was told by a whistleblower about ""overmedicated veterans,"" she made ""deadly mistakes"" and ""three veterans died"" at the Tomah VA hospital.",4/27/2017,radio,Tom Kertscher,5/5/2017,https://www.politifact.com/factchecks/2017/may/05/americas-pac/super-pac-attack-blaming-tammy-baldwin-deaths-3-ve/
pants-fire,Nova magazine,"""Prince Harry says Donald Trump is not welcome at his wedding: ‘Trump is a serious threat to human rights.’ """,11/27/2017,news,Sophie Kaplan,12/1/2017,https://www.politifact.com/factchecks/2017/dec/01/nova-magazine/prince-harry-never-said-donald-trump-wasnt-welcome/
false,Facebook posts,"Says Herman Cain died of cancer, not COVID-19.",7/30/2020,social_media,Ciara O'Rourke,7/31/2020,https://www.politifact.com/factchecks/2020/jul/31/facebook-posts/herman-cain-died-covid-19-not-cancer/
false,Jason Conger,"Says ""the mandate is 71 times that a child’s body will be injected with a disease"" for immunizations.",6/19/2013,speech,Janie Har,6/29/2013,https://www.politifact.com/factchecks/2013/jun/29/jason-conger/are-oregon-children-subjected-71-immunization-shot/
mostly-false,Republican Party of Georgia,"""Even when all other state agencies took cuts, Gov. [Nathan] Deal increased education spending every year.""",6/4/2014,news,Nancy Badertscher,6/20/2014,https://www.politifact.com/factchecks/2014/jun/20/GaGOP/gop-overstating-deals-record-education/
false,Milwaukeeans for Self-Governance,"Says Milwaukee County district attorney candidate Verona Swanigan ""has worked as a prosecutor.""",7/20/2016,radio,Tom Kertscher,8/4/2016,https://www.politifact.com/factchecks/2016/aug/04/milwaukeeans-self-governance/candidate-district-attorney-doesnt-say-she-worked-/
pants-fire,Bloggers,"""JUST IN: Actor ‘Vin Deisel’ dies after a Failed Attempt to Perfect a Stunt on set."" ​",8/22/2018,blog,Lucia Geng,8/23/2018,https://www.politifact.com/factchecks/2018/aug/23/blog-posting/not-so-fast-vin-diesel-didnt-die-failed-stunt-atte/
mostly-true,Mark Warner,"""The average time someone used to hold a share of stock back in the ’60s was eight years. Now, the average time is four months.""",6/19/2016,radio,Warren Fiske,7/6/2016,https://www.politifact.com/factchecks/2016/jul/06/mark-warner/mark-warner-says-average-holding-time-stocks-has-f/
pants-fire,Bruce Rauner,"""My grandparents were proud immigrants to the United States of America, here to Illinois in the late 1800s. My grandparents did not speak English when they were young.""",8/28/2017,other,Matt Dietrich,9/5/2017,https://www.politifact.com/factchecks/2017/sep/05/bruce-rauner/rauner-trims-twists-branches-his-family-tree-immig/
mostly-false,Donald Trump,"Rare is the president ""who's passed more legislation, who's done more things than what we've done, between the executive orders and the job-killing regulations that have been terminated.""",6/12/2017,meeting,Louis Jacobson,6/13/2017,https://www.politifact.com/factchecks/2017/jun/13/donald-trump/donald-trumps-boasts-about-accomplishments-office-/
false,Robin Vos,"Voter fraud provided ""a portion"" of the margin of victory of Democrat John Lehman over Republican Sen. Van Wanggaard in a state Senate recall election.",6/17/2012,news,James B. Nelson,7/6/2012,https://www.politifact.com/factchecks/2012/jul/06/robin-vos/wisconsin-rep-robin-vos-says-voter-fraud-accounted/
false,Darrell Issa,"Royalties for oil and other energy sources are the ""second-largest revenue source to the federal government after the IRS.""",5/4/2010,news,Louis Jacobson,5/6/2010,https://www.politifact.com/factchecks/2010/may/06/darrell-issa/issa-says-oil-royalties-trail-only-taxes-generalti/
mostly-false,"Reps. Keith Rothfus, Mike Kelly and Bill Shuster","""Obamacare covers 24 million fewer people than it was expected to, and the projected price tag has more than doubled at $2 trillion.""",2/19/2017,news,Anna Orso,2/24/2017,https://www.politifact.com/factchecks/2017/feb/24/reps-keith-rothfus-mike-kelly-and-bill-shuster/bad-math-behind-3-pa-gop-congressmens-obamacare-cl/
false,Facebook posts,Says a Craigslist ad offered to pay actors to be Trump supporters for a rally.,11/1/2019,social_media,Samantha Putterman,11/11/2019,https://www.politifact.com/factchecks/2019/nov/11/facebook-posts/no-craigslist-ad-offering-pay-trump-support-phony/
half-true,Joshua Marquis,Says 25 percent of Oregonians oppose the death penalty.,11/27/2011,blog,Ian K. Kullgren,12/6/2011,https://www.politifact.com/factchecks/2011/dec/06/joshua-marquis/oregon-district-attorney-puts-opposition-capital-p/
true,Steve Rothman,"""Currently it costs more than a penny for the U.S. Mint to make a one cent coin and more than a nickel to make the five cent piece.""",11/2/2011,statement,Erin O'Neill,11/24/2011,https://www.politifact.com/factchecks/2011/nov/24/steve-rothman/steve-rothman-says-it-costs-more-make-penny-and-ni/
mostly-false,Donald Trump,"Says ""Elizabeth Warren lied when she says I want to abolish the Federal Minimum Wage.""",5/11/2016,social_media,Louis Jacobson,5/19/2016,https://www.politifact.com/factchecks/2016/may/19/donald-trump/donald-trump-wrong-elizabeth-warren-lied-saying-he/
false,Mike Huckabee,"""I supported the surge when you didn't.""",1/5/2008,speech,Tom Tobin,1/6/2008,https://www.politifact.com/factchecks/2008/jan/06/mike-huckabee/romney-supported-it-from-the-start/
false,Clean Water Portland,"Says ""If you compare the Portland Metro area to the CDC’s statewide cavity rates ... the Portland Metro area would actually rank as having the 15th lowest cavity rate in the U.S.""",4/8/2013,campaign,Janie Har,4/20/2013,https://www.politifact.com/factchecks/2013/apr/20/clean-water-portland/do-numbers-put-multnomah-co-par-15th-lowest-cavity/
false,TikTok posts,"There is a ""0.05% chance of dying from COVID.""",7/26/2021,social_media,Gabrielle Settles,8/13/2021,https://www.politifact.com/factchecks/2021/aug/13/tiktok-posts/experts-break-down-numbers-catching-or-dying-covid/
half-true,Rebecca Dallet,"Says that during the Supreme Court campaign, Michael Screnock has ""vowed to uphold the platform of the NRA.""",3/2/2018,speech,Tom Kertscher,3/14/2018,https://www.politifact.com/factchecks/2018/mar/14/rebecca-dallet/did-wisconsin-supreme-court-candidate-michael-scre/
mostly-false,Donald Trump,"Says Hillary Clinton’s State Department ""approved the transfer of 20 percent of America’s uranium holdings to Russia, while nine investors in the deal funneled $145 million to the Clinton Foundation.""",6/22/2016,speech,Linda Qiu,6/30/2016,https://www.politifact.com/factchecks/2016/jun/30/donald-trump/donald-trump-inaccurately-suggests-clinton-got-pai/
mostly-true,Bruce Rauner,"""Our families have the highest property taxes in the country. We must change this.""",3/15/2017,social_media,Anna Bruzgulis,4/20/2017,https://www.politifact.com/factchecks/2017/apr/20/bruce-rauner/how-true-gov-rauners-property-tax-claim/
true,Donald Trump,"""Heroin .. pours across our southern borders.""",10/19/2016,speech,Jon Greenberg,10/19/2016,https://www.politifact.com/factchecks/2016/oct/20/donald-trump/trump-says-heroin-pours-across-southern-border/
mostly-true,Tim Kaine,"""Gov. Pence said, inarguably, Vladimir Putin is a better leader than President Obama.""",10/4/2016,speech,Louis Jacobson,10/5/2016,https://www.politifact.com/factchecks/2016/oct/05/tim-kaine/tim-kaine-recalls-mike-pence-comment-putin-stronge/
false,Facebook posts,"Video shows ""pupils in Nigeria running away from being vaccinated.""",1/26/2021,social_media,Ciara O'Rourke,8/27/2021,https://www.politifact.com/factchecks/2021/aug/27/facebook-posts/no-video-doesnt-show-nigerian-students-fleeing-cov/
pants-fire,YourNewsWire.com,"""Texas Church shooter was Antifa and wanted to start (a) ‘communist revolution.’ """,11/5/2017,blog,Joshua Gillin,11/6/2017,https://www.politifact.com/factchecks/2017/nov/06/yournewswirecom/fake-news-no-proof-antifa-communism-compelled-texa/
mostly-true,Clay Aiken,"""A gay man who survived #orlando hate crime can STILL show up to work in FL tomorrow and have his boss fire him simply because he is gay.""",6/12/2016,social_media,C. Eugene Emery Jr.,6/20/2016,https://www.politifact.com/factchecks/2016/jun/20/clay-aiken/clay-aiken-said-despite-orlando-tragedy-gays-flori/
mostly-false,John Stemberger,"The largest number of gamblers are ""from the poorest segments of the population.""",10/20/2011,blog,Amy Sherman,11/18/2011,https://www.politifact.com/factchecks/2011/nov/18/john-stemberger/largest-numbers-gamblers-come-poor/
false,Bloggers,"""Broward County deputy says civil rights attorneys were handing out absentee ballots to inmates AFTER ELECTION?""",11/13/2018,social_media,Ciara O'Rourke,11/19/2018,https://www.politifact.com/factchecks/2018/nov/19/blog-posting/no-evidence-broward-inmates-got-absentee-ballots-a/
mostly-false,"Save Our City, Milwaukeeans Can't Wait","Says Tom Barrett ""has directed that tens of millions of City of Milwaukee tax dollars be used for the construction of a downtown trolley at the expense of: health and public safety; repair and replacement of public infrastructure; public education; and, job creation and economic development.""",7/7/2017,other,Tom Kertscher,7/14/2017,https://www.politifact.com/factchecks/2017/jul/14/save-our-city-milwaukeeans-cant-wait/tens-millions-tax-money-directed-milwaukee-streetc/
mostly-false,Will Weatherford,"Eighty-five percent of Floridians who will benefit from expanding Medicaid are ""single, childless adults.""",3/8/2013,news,Katie Sanders,3/15/2013,https://www.politifact.com/factchecks/2013/mar/15/will-weatherford/weatherford-says-85-percent-people-covered-medicai/
mostly-false,Julia Hurley,"""If you have ever visited Nashville or Washington D.C. you will see MANY names and initials carved into ... desks.""",6/23/2012,email,Michael Collins,7/18/2012,https://www.politifact.com/factchecks/2012/jul/18/julia-hurley/state-rep-julia-hruley-says-state-and-us-capitols-/
half-true,People for the Ethical Treatment of Animals,"""Live cats have holes drilled into their skulls,"" posts put into their heads and coils put into their eyes, and some have had their ears cut off or are intentionally deafened or starved at UW-Madison labs that do research to improve hearing in humans.",10/8/2013,social_media,Tom Kertscher,10/18/2013,https://www.politifact.com/factchecks/2013/oct/18/people-ethical-treatment-animals/cats-have-holes-drilled-their-heads-undergo-other-/
half-true,Rick Santorum,"President Obama has ""said he is going to cut veterans' benefits.""",1/19/2012,speech,Molly Moorhead,1/20/2012,https://www.politifact.com/factchecks/2012/jan/20/rick-santorum/rick-santorum-says-obama-wants-cut-veterans-benefi/
false,Freedom Partners Action Fund,"""Russ Feingold got a memo in 2009 that outlined veteran harm"" at a Wisconsin VA facility ""and nothing was done.""",5/2/2016,advertisement,Tom Kertscher,5/11/2016,https://www.politifact.com/factchecks/2016/may/11/freedom-partners-action-fund/attack-ad-says-ex-us-sen-russ-feingold-got-2009-me/
pants-fire,Facebook posts,"""As some of you may know I am the recent $3.4 million lotto winner. I’d like to spread some positivity so I’m sending $1,000 to the first 100k people that share this.""",10/29/2018,social_media,Aaron Sharockman,10/30/2018,https://www.politifact.com/factchecks/2018/oct/31/facebook-posts/see-post-claiming-big-lottery-winner-wants-give-yo/
pants-fire,Facebook posts,"Quotes Alexandria Ocasio-Cortez as saying ""I’m speaking with myself, number one, because I have a very good brain and I’ve said lots of things.""",7/9/2019,social_media,Samantha Putterman,7/11/2019,https://www.politifact.com/factchecks/2019/jul/11/facebook-posts/ocasio-cortez-didnt-say-she-speaks-herself-because/
mostly-true,Cory Booker,"""We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.""",7/27/2015,social_media,Keely Herring,7/31/2015,https://www.politifact.com/factchecks/2015/jul/31/cory-booker/was-prison-built-every-10-days-house-fast-growing-/
half-true,Viral image,"""If you’ve let somebody claim your kids for income tax purposes, you will not receive a stimulus check. The person who claimed your kids is gonna get it.""",3/31/2020,social_media,Madison Czopek,4/8/2020,https://www.politifact.com/factchecks/2020/apr/08/viral-image/whos-eligible-receive-stimulus-aid-dependent-child/
true,Glen Sturtevant,"""Last year, we had zero percent growth in GDP in Virginia ...The only states that did worse than us were Alaska and Mississippi.""",8/18/2015,meeting,Warren Fiske,8/25/2015,https://www.politifact.com/factchecks/2015/aug/25/glen-sturtevant/glen-sturtevant-says-virginia-had-zero-percent-gro/
half-true,John Boehner,"""Since February 2009, our economy has lost roughly 3 million private sector jobs while the federal government has grown by more than 400,000 jobs.""",7/15/2010,news,Sabrina Eaton,7/15/2010,https://www.politifact.com/factchecks/2010/jul/15/john-boehner/john-boehner-says-obama-has-presided-over-private-/
mostly-true,David Plouffe,"Says ""Donald Trump himself contributed $100,000"" to the Clinton Foundation.",8/28/2016,news,Linda Qiu,8/28/2016,https://www.politifact.com/factchecks/2016/aug/28/david-plouffe/yes-donald-trump-donated-100000-clinton-foundation/
pants-fire,TikTok posts,Product shortages are manufactured; goods are stuck in warehouses.,10/24/2021,social_media,Jill Terreri Ramos,11/4/2021,https://www.politifact.com/factchecks/2021/nov/04/tiktok-posts/supply-chain-problems-are-real/
true,Barack Obama,"Hillary Clinton ""actually differed with (John McCain) by arguing for exceptions for torture before changing positions.""",1/30/2008,other,Angie Drobnic Holan,2/1/2008,https://www.politifact.com/factchecks/2008/feb/01/barack-obama/clinton-changed-on-torture/
mostly-true,Tom Toles,"A ""working woman"" will earn $7.70 on $10.",6/18/2015,speech,April Hunt,7/10/2015,https://www.politifact.com/factchecks/2015/jul/10/tom-toles/cartoon-skips-specifics-wage-gap-claim/
pants-fire,Rush Limbaugh,"Says ""11 straight years of no major hurricanes striking land"" in the United States ""bores a hole right through the whole climate change argument.""",10/5/2016,radio,Allison Graves,10/7/2016,https://www.politifact.com/factchecks/2016/oct/07/rush-limbaugh/rush-limbaugh-wrong-lack-hurricanes-diminishes-cli/
half-true,Shaun Donovan,"Housing prices dropped for the 30 months prior to Barack Obama taking office, ""and they have stabilized, they've been about flat since the president came in.""",7/3/2011,news,Louis Jacobson,7/6/2011,https://www.politifact.com/factchecks/2011/jul/06/shaun-donovan/hud-secretary-shaun-donovan-says-house-prices-stab/
mostly-false,Rex Tillerson,"""I have never lobbied against sanctions personally... to my knowledge, Exxon never directly lobbied against sanctions.",1/11/2017,testimony,Jon Greenberg,1/12/2017,https://www.politifact.com/factchecks/2017/jan/12/rex-tillerson/tillerson-misleads-russian-sanctions-opposition/
mostly-false,Rick Perry,Says that Romney touted the Massachusetts health plan for the nation in his hardcover book but then deleted it for the paperback edition.,9/22/2011,speech,Becky Bowers,9/23/2011,https://www.politifact.com/factchecks/2011/sep/23/rick-perry/rick-perry-says-mitt-romney-deleted-health-care-li/
half-true,Donald Trump,"China is ""in the South China Sea and (building) a military fortress the likes of which perhaps the world has not seen.""",4/4/2016,news,Linda Qiu,4/4/2016,https://www.politifact.com/factchecks/2016/apr/04/donald-trump/donald-trump-weighs-chinas-island-building-south-c/
mostly-true,Charles Boustany,"The CBO found that the House Republican health care plan would lower premiums by ""up to about 10 percent"" and, for purchasers in the individual market, ""those cost savings could even be higher.""",2/25/2010,speech,Louis Jacobson,2/25/2010,https://www.politifact.com/factchecks/2010/feb/25/charles-boustany/boustany-says-gop-health-plan-would-lower-premiums/
false,Floridians for Ethics and Truth in Politics,Says state Senate candidate Aaron Bean voted to give health care subsidies to illegal immigrants.,8/13/2012,advertisement,Katie Sanders,8/13/2012,https://www.politifact.com/factchecks/2012/aug/13/floridians-ethics-and-truth-politics/outside-group-claims-aaron-bean-voted-give-health-/
mostly-false,Facebook posts,Says Rep. Pramila Jayapal was not wearing a mask in Congress during the U.S. Capitol mob.,1/12/2021,social_media,Bill McCarthy,1/14/2021,https://www.politifact.com/factchecks/2021/jan/14/facebook-posts/image-pramila-jayapal-without-mask-out-context/
pants-fire,Bloggers,"Says Ohio Gov. John Kasich said, ""If a woman is not intelligent enough to keep her legs closed, how can we entrust the abortion decision to her?""",3/28/2017,news,Joshua Gillin,4/13/2017,https://www.politifact.com/factchecks/2017/apr/13/blog-posting/fake-news-story-falsely-quotes-kasich-saying-some-/
mostly-true,Mike Pence,"""In exchange for five minutes with Bill Clinton, the government of Qatar was going to give $1 million to the Clinton Foundation.""",10/16/2016,news,Linda Qiu,10/16/2016,https://www.politifact.com/factchecks/2016/oct/16/mike-pence/did-qatar-promise-clinton-foundation-1-million-fiv/
mostly-true,Nathan Deal,"The impact of the 2010 federal health care legislation will be ""huge"" on Georgia.",12/8/2010,news,Eric Stirgus,1/21/2011,https://www.politifact.com/factchecks/2011/jan/21/nathan-deal/deal-healthcare-prediction-needs-more-details/
true,Randy Forbes,"""The national debt is equal to $48,700 for every American or $128,300 for every U.S. household. It is now equivalent to the size of our entire economy.""",1/24/2012,blog,Sean Gorman,2/3/2012,https://www.politifact.com/factchecks/2012/feb/03/randy-forbes/rep-randy-forbes-says-national-debt-comes-48700-pe/
true,Jackie Dingfelder,"Says, ""I-205, six miles of which runs through my district, already carries more traffic than I-5.""",3/4/2013,speech,Christian Gaston,3/12/2013,https://www.politifact.com/factchecks/2013/mar/12/jackie-dingfelder/does-interstate-205-carry-more-traffic-interstate-/
mostly-false,David Cicilline,"Women ""earn only 77 cents for every dollar earned by men in the same position.""",4/17/2012,news,C. Eugene Emery Jr.,6/24/2012,https://www.politifact.com/factchecks/2012/jun/24/david-cicilline/us-rep-david-cicilline-says-women-earn-only-77-per/
false,Facebook posts,"Society is ""choosing blood clots and heart problems over cold and flu symptoms, or even no symptoms at all.""",12/9/2021,social_media,Tom Kertscher,12/10/2021,https://www.politifact.com/factchecks/2021/dec/10/facebook-posts/clots-heart-problems-covid-19-vaccines-rare-deaths/
pants-fire,Resistance Report,"Says U.S. Sen. Ron Johnson ""threatens citizens with arrest if they continue asking for a town hall.""",3/2/2017,blog,Tom Kertscher,3/7/2017,https://www.politifact.com/factchecks/2017/mar/07/resistance-report/article-falsely-claims-ron-johnson-threatens-citiz/
false,Michael Moore,"Says during George W. Bush’s administration ""we were losing millions of jobs per month,"" while under Barack Obama we have ""three years of gaining hundreds of thousands of jobs per month.""",11/2/2012,social_media,Louis Jacobson,11/2/2012,https://www.politifact.com/factchecks/2012/nov/02/michael-moore/michael-moore-said-us-lost-millions-jobs-month-und/
pants-fire,Chain email,Unemployment and the housing and auto industry crises can be fixed by giving a million dollars to every worker over age 50 to retire.,12/20/2010,blog,C. Eugene Emery Jr.,12/22/2010,https://www.politifact.com/factchecks/2010/dec/22/chain-email/simple-solution-economic-crisis-would-cost-more-th/
half-true,Barack Obama,"""Mitt Romney's companies were pioneers in outsourcing U.S. jobs to low-wage countries.""",7/3/2012,campaign,Jon Greenberg,7/13/2012,https://www.politifact.com/factchecks/2012/jul/13/barack-obama/were-romneys-companies-pioneers-outsourcing/
half-true,Nancy Mace,Says Joe Cunningham voted for $5 million in taxpayer funds to go into his and other politicians’ campaigns to pay for personal expenses and TV ads.,10/6/2020,speech,Tom Kertscher,10/12/2020,https://www.politifact.com/factchecks/2020/oct/12/nancy-mace/sc-rep-cunningham-did-not-vote-5m-tax-funds-go-cam/
false,Jeff Greene,"""Kendrick Meek was named one of the two most corrupt Democrats in Congress by Citizens for Responsibility and Ethics in Washington.""",7/31/2010,campaign,Aaron Sharockman,8/3/2010,https://www.politifact.com/factchecks/2010/aug/03/jeff-greene/kendrick-meek-second-most-corrupt-democrat-congres/
half-true,Facebook posts,"""Elaine Chao BUSTED Sending $97 Million Contract To Help Mitch McConnell Win Reelection.""",12/29/2019,social_media,Tom Kertscher,1/9/2020,https://www.politifact.com/factchecks/2020/jan/09/facebook-posts/did-trump-dot-secretary-elaine-chao-use-grant-help/
false,David Rouzer,"""The #irandeal ultimately would have guaranteed Iran a nuclear bomb capable of reaching the US.""",5/8/2018,social_media,Paul Specht,5/22/2018,https://www.politifact.com/factchecks/2018/may/22/david-rouzer/congressman-deal-ensured-iran-could-hit-us-nuclear/
pants-fire,National Republican Congressional Committee,"Says Reps. Rush Holt, Frank Pallone and Bill Pascrell are ""willing to jeopardize seniors’ access to coverage by gutting $741 billion from Medicare"" to pay for a ""big-government healthcare takeover.""",8/14/2012,news,Bill Wichert,8/19/2012,https://www.politifact.com/factchecks/2012/aug/19/national-republican-congressional-committee/house-democrats-support-gutting-medicare-more-700-/
